,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,New Column,Churn Binary
88,KY,74,415,No,Yes,35,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9,2.94,2.0,False,100,0
89,NJ,128,415,No,No,0,237.9,125.0,40.44,247.6,93.0,21.05,208.9,68.0,9.4,13.9,4,3.75,1.0,True,100,1
90,DC,82,510,No,No,0,143.9,61.0,24.46,194.9,105.0,16.57,109.6,94.0,4.93,11.1,2,3.0,1.0,False,100,0
91,LA,155,415,No,No,0,203.4,100.0,34.58,190.9,104.0,16.23,196.0,119.0,8.82,8.9,4,2.4,0.0,True,100,1
92,AR,80,415,No,No,0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9,2.13,1.0,False,100,0
93,ME,78,415,No,No,0,252.9,93.0,42.99,178.4,112.0,15.16,263.9,105.0,11.88,9.5,7,2.57,3.0,False,100,0
94,AZ,90,415,No,No,0,179.1,71.0,30.45,190.6,81.0,16.2,127.7,91.0,5.75,10.6,7,2.86,3.0,False,100,0
95,AK,104,408,No,No,0,278.4,106.0,47.33,81.0,113.0,6.89,163.2,137.0,7.34,9.8,5,2.65,1.0,False,100,0
96,MT,73,415,No,No,0,160.1,110.0,27.22,213.3,72.0,18.13,174.1,72.0,7.83,13.0,4,3.51,0.0,False,100,0
97,AZ,99,415,No,No,0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,8.59,8.7,3,2.35,4.0,False,100,0
98,MS,120,408,No,No,0,212.1,131.0,36.06,209.4,104.0,17.8,167.2,96.0,7.52,5.3,5,1.43,1.0,True,100,1
99,ID,77,415,No,No,0,251.8,72.0,42.81,205.7,126.0,17.48,275.2,109.0,12.38,9.8,7,2.65,2.0,True,100,1
100,IA,98,510,No,Yes,21,161.2,114.0,27.4,252.2,83.0,21.44,160.2,92.0,7.21,4.4,8,1.19,4.0,False,100,0
101,MA,108,415,No,No,0,178.3,137.0,30.31,189.0,76.0,16.07,129.1,102.0,5.81,14.6,5,3.94,0.0,False,100,0
102,VT,135,415,No,No,0,151.7,82.0,25.79,119.0,105.0,10.12,180.0,100.0,8.1,10.5,6,2.84,0.0,False,100,0
103,KY,95,408,No,No,0,135.0,99.0,22.95,183.6,106.0,15.61,245.3,102.0,11.04,12.5,9,3.38,1.0,False,100,0
104,IN,122,408,No,No,0,170.5,94.0,28.99,173.7,109.0,14.76,248.6,75.0,11.19,11.3,2,3.05,1.0,False,100,0
105,AZ,95,408,No,No,0,238.1,65.0,40.48,187.2,98.0,15.91,190.0,115.0,8.55,11.8,4,3.19,4.0,False,100,0
106,MI,36,510,No,Yes,29,281.4,102.0,47.84,202.2,76.0,17.19,187.2,113.0,8.42,9.0,6,2.43,2.0,False,100,0
107,NM,93,510,No,Yes,21,117.9,131.0,20.04,164.5,115.0,13.98,217.0,86.0,9.76,9.8,3,2.65,1.0,False,100,0
108,CO,141,415,No,Yes,32,148.6,91.0,25.26,131.1,97.0,11.14,219.4,142.0,9.87,10.1,1,2.73,1.0,False,100,0
109,UT,157,408,No,No,0,229.8,90.0,39.07,147.9,121.0,12.57,241.4,108.0,10.86,9.6,7,2.59,3.0,False,100,0
110,MI,120,408,No,No,0,165.0,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8,2.24,1.0,False,100,0
111,MA,103,415,No,No,0,185.0,117.0,31.45,223.3,94.0,18.98,222.8,91.0,10.03,12.6,2,3.4,2.0,False,100,0
112,AL,98,408,No,No,0,161.0,117.0,27.37,190.9,113.0,16.23,227.7,113.0,10.25,12.1,4,3.27,4.0,False,100,0
113,DE,125,408,No,No,0,126.7,108.0,21.54,206.0,90.0,17.51,247.8,114.0,11.15,13.3,7,3.59,1.0,False,100,0
114,AZ,63,415,No,No,0,58.9,125.0,10.01,169.6,59.0,14.42,211.4,88.0,9.51,9.4,3,2.54,1.0,False,100,0
115,ME,36,510,Yes,Yes,42,196.8,89.0,33.46,254.9,122.0,21.67,138.3,126.0,6.22,20.0,6,5.4,0.0,True,100,1
116,NJ,64,510,No,No,0,162.6,83.0,27.64,152.3,109.0,12.95,57.5,122.0,2.59,14.2,3,3.83,1.0,False,100,0
117,NV,74,415,No,No,0,282.5,114.0,48.03,219.9,48.0,18.69,170.0,115.0,7.65,9.4,4,2.54,1.0,True,100,1
118,MO,112,510,No,Yes,36,113.7,117.0,19.33,157.5,82.0,13.39,177.6,118.0,7.99,10.0,3,2.7,2.0,False,100,0
119,ID,97,408,No,No,0,239.8,125.0,40.77,214.8,111.0,18.26,143.3,81.0,6.45,8.7,5,2.35,2.0,False,100,0
120,NE,46,408,No,No,0,210.2,92.0,35.73,227.3,77.0,19.32,200.1,116.0,9.0,13.1,7,3.54,1.0,False,100,0
121,TX,41,408,No,Yes,22,213.8,102.0,36.35,141.8,86.0,12.05,142.2,123.0,6.4,7.2,3,1.94,0.0,False,100,0
122,MD,121,510,No,No,0,190.7,103.0,32.42,183.5,117.0,15.6,220.8,103.0,9.94,9.8,4,2.65,3.0,False,100,0
123,MS,193,415,No,No,0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3,3.13,1.0,False,100,0
124,NV,130,510,No,No,0,154.2,119.0,26.21,110.2,98.0,9.37,227.4,117.0,10.23,9.2,5,2.48,2.0,False,100,0
125,AZ,85,408,No,No,0,201.4,52.0,34.24,229.4,104.0,19.5,252.5,106.0,11.36,12.0,3,3.24,1.0,False,100,0
126,MS,162,415,No,No,0,70.7,108.0,12.02,157.5,87.0,13.39,154.8,82.0,6.97,9.1,3,2.46,4.0,True,100,1
127,MS,61,510,No,Yes,27,187.5,124.0,31.88,146.6,103.0,12.46,225.7,129.0,10.16,6.4,6,1.73,4.0,True,100,1
128,TX,92,408,No,No,0,91.7,90.0,15.59,193.7,123.0,16.46,175.0,86.0,7.88,9.2,4,2.48,2.0,False,100,0
129,NE,131,408,No,Yes,36,214.2,115.0,36.41,161.7,117.0,13.74,264.7,102.0,11.91,9.5,4,2.57,3.0,False,100,0
130,NE,90,415,No,No,0,145.5,92.0,24.74,217.7,114.0,18.5,146.9,123.0,6.61,10.9,2,2.94,3.0,False,100,0
131,CA,75,408,No,No,0,166.3,125.0,28.27,158.2,86.0,13.45,256.7,80.0,11.55,6.1,5,1.65,1.0,False,100,0
132,NJ,78,415,No,No,0,231.0,115.0,39.27,230.4,140.0,19.58,261.4,120.0,11.76,9.5,3,2.57,1.0,False,100,0
133,TX,82,408,No,No,0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1,1.92,4.0,False,100,0
134,AR,163,408,No,No,0,197.0,109.0,33.49,202.6,128.0,17.22,206.4,80.0,9.29,9.1,10,2.46,1.0,False,100,0
135,AL,91,510,Yes,No,0,129.9,112.0,22.08,173.3,83.0,14.73,247.2,130.0,11.12,11.2,3,3.02,3.0,False,100,0
136,NY,75,415,No,Yes,21,175.8,97.0,29.89,217.5,106.0,18.49,237.5,134.0,10.69,5.3,4,1.43,5.0,False,100,0
137,FL,91,510,No,No,0,203.1,106.0,34.53,210.1,113.0,17.86,195.6,129.0,8.8,12.0,3,3.24,3.0,False,100,0
143,VT,103,510,No,No,0,246.5,47.0,41.91,195.5,84.0,16.62,200.5,96.0,9.02,11.7,4,3.16,1.0,False,100,0
144,VT,117,408,Yes,No,0,167.1,86.0,28.41,177.5,87.0,15.09,249.4,132.0,11.22,14.1,7,3.81,2.0,True,100,1
145,MI,140,415,No,No,0,231.9,101.0,39.42,160.1,94.0,13.61,110.4,98.0,4.97,14.3,6,3.86,3.0,False,100,0
146,WA,127,408,No,No,0,146.7,91.0,24.94,203.5,78.0,17.3,203.4,110.0,9.15,13.7,3,3.7,1.0,False,100,0
147,UT,83,408,Yes,No,0,271.5,87.0,46.16,216.3,126.0,18.39,121.1,105.0,5.45,11.7,4,3.16,1.0,False,100,0
148,LA,121,408,No,No,0,181.5,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,8.5,5,2.3,1.0,False,100,0
149,RI,145,408,No,Yes,43,257.7,97.0,43.81,162.1,95.0,13.78,286.9,86.0,12.91,11.1,4,3.0,2.0,False,100,0
150,IA,113,408,No,No,0,193.8,99.0,32.95,221.4,125.0,18.82,172.3,67.0,7.75,10.6,6,2.86,1.0,False,100,0
151,NE,117,415,No,No,0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,13.46,10.1,7,2.73,1.0,False,100,0
152,OH,65,408,No,No,0,187.9,116.0,31.94,157.6,117.0,13.4,227.3,86.0,10.23,7.5,6,2.03,1.0,False,100,0
153,RI,56,415,No,No,0,226.0,112.0,38.42,248.5,118.0,21.12,140.5,142.0,6.32,6.9,11,1.86,1.0,False,100,0
154,OK,96,415,No,No,0,260.4,115.0,44.27,146.0,46.0,12.41,269.5,87.0,12.13,11.5,4,3.11,5.0,False,100,0
155,LA,151,408,No,No,0,178.7,116.0,30.38,292.1,138.0,24.83,265.9,101.0,11.97,9.8,4,2.65,0.0,False,100,0
156,OH,83,415,No,No,0,337.4,120.0,57.36,227.4,116.0,19.33,153.9,114.0,6.93,15.8,7,4.27,0.0,True,100,1
157,VA,139,510,No,Yes,23,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2,3.7,0.0,False,100,0
158,MO,6,510,No,No,0,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,8.04,10.2,2,2.75,1.0,False,100,0
159,FL,115,510,No,Yes,24,142.1,124.0,24.16,183.4,129.0,15.59,164.8,114.0,7.42,9.6,4,2.59,1.0,False,100,0
160,SC,87,415,No,No,0,136.3,97.0,23.17,172.2,108.0,14.64,137.5,101.0,6.19,7.1,5,1.92,0.0,False,100,0
161,VA,141,415,No,No,0,217.1,110.0,36.91,241.5,111.0,20.53,253.5,103.0,11.41,12.0,6,3.24,0.0,False,100,0
162,IA,141,510,No,Yes,36,187.5,99.0,31.88,241.4,116.0,20.52,229.5,105.0,10.33,10.5,5,2.84,3.0,False,100,0
163,MI,62,415,No,No,0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1,3.29,1.0,False,100,0
164,OK,146,415,No,No,0,206.3,151.0,35.07,148.6,89.0,12.63,167.2,91.0,7.52,6.1,3,1.65,1.0,False,100,0
165,DE,92,415,No,Yes,33,243.1,92.0,41.33,213.8,92.0,18.17,228.7,104.0,10.29,12.1,2,3.27,2.0,False,100,0
166,GA,185,510,No,Yes,31,189.8,126.0,32.27,163.3,133.0,13.88,264.8,126.0,11.92,7.5,3,2.03,1.0,False,100,0
167,DC,148,415,No,No,0,202.0,102.0,34.34,243.2,128.0,20.67,261.3,90.0,11.76,10.9,3,2.94,1.0,False,100,0
168,AZ,94,408,No,Yes,38,170.1,124.0,28.92,193.3,116.0,16.43,105.9,73.0,4.77,12.8,4,3.46,1.0,False,100,0
169,AL,32,510,No,No,0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2,1.7,0.0,False,100,0
170,CO,68,408,No,No,0,237.1,105.0,40.31,223.5,105.0,19.0,97.4,79.0,4.38,13.2,2,3.56,1.0,False,100,0
171,NH,64,408,No,Yes,27,182.1,91.0,30.96,169.7,98.0,14.42,164.7,86.0,7.41,10.6,5,2.86,2.0,False,100,0
172,NM,25,415,No,No,0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86.0,12.1,10.5,4,2.84,3.0,False,100,0
173,OR,65,415,No,No,0,116.8,87.0,19.86,178.9,93.0,15.21,182.4,150.0,8.21,14.1,2,3.81,1.0,False,100,0
174,LA,179,408,No,No,0,219.2,92.0,37.26,149.4,125.0,12.7,244.7,104.0,11.01,6.1,5,1.65,0.0,False,100,0
175,NE,94,415,No,No,0,252.6,104.0,42.94,169.0,125.0,14.37,170.9,106.0,7.69,11.1,7,3.0,2.0,False,100,0
176,MN,62,415,No,No,0,147.1,91.0,25.01,190.4,107.0,16.18,195.2,115.0,8.78,12.2,3,3.29,0.0,False,100,0
177,MI,127,415,No,No,0,202.1,103.0,34.36,229.4,86.0,19.5,195.2,113.0,8.78,11.5,3,3.11,2.0,False,100,0
178,AR,116,408,No,No,0,173.5,93.0,29.5,194.1,76.0,16.5,208.0,112.0,9.36,16.2,10,4.37,3.0,False,100,0
179,KS,70,408,No,No,0,232.1,122.0,39.46,292.3,112.0,24.85,201.2,112.0,9.05,0.0,0,0.0,3.0,False,100,0
180,WV,94,510,Yes,Yes,23,197.1,125.0,33.51,214.5,136.0,18.23,282.2,103.0,12.7,9.5,5,2.57,4.0,False,100,0
181,AK,126,415,No,No,0,58.2,94.0,9.89,138.7,118.0,11.79,136.8,91.0,6.16,11.9,1,3.21,5.0,True,100,1
182,NY,67,408,No,Yes,36,115.6,111.0,19.65,237.7,94.0,20.2,169.9,103.0,7.65,9.9,12,2.67,2.0,False,100,0
183,NH,19,408,No,No,0,186.1,98.0,31.64,254.3,57.0,21.62,214.0,127.0,9.63,14.6,7,3.94,2.0,False,100,0
184,VA,170,510,Yes,No,0,259.9,68.0,44.18,245.0,122.0,20.83,134.4,121.0,6.05,8.4,3,2.27,3.0,False,100,0
185,NM,73,415,No,No,0,214.3,145.0,36.43,268.5,135.0,22.82,241.2,92.0,10.85,10.8,13,2.92,1.0,False,100,0
186,NY,106,408,No,No,0,158.7,74.0,26.98,64.3,139.0,5.47,198.5,103.0,8.93,10.2,4,2.75,1.0,False,100,0
187,AZ,93,415,No,No,0,271.6,71.0,46.17,229.4,108.0,19.5,77.3,121.0,3.48,10.9,3,2.94,2.0,False,100,0
188,WY,164,510,No,No,0,160.6,111.0,27.3,163.2,126.0,13.87,187.1,112.0,8.42,9.0,3,2.43,1.0,False,100,0
189,WA,51,408,No,No,0,232.4,109.0,39.51,187.4,95.0,15.93,231.2,107.0,10.4,9.1,3,2.46,1.0,False,100,0
190,CO,107,415,No,No,0,133.8,85.0,22.75,180.5,94.0,15.34,112.2,115.0,5.05,8.9,4,2.4,0.0,False,100,0
191,TX,130,415,No,No,0,176.9,109.0,30.07,90.7,104.0,7.71,238.0,69.0,10.71,9.5,2,2.57,1.0,False,100,0
192,KY,80,408,No,No,0,209.9,74.0,35.68,195.1,77.0,16.58,208.2,119.0,9.37,8.8,4,2.38,2.0,False,100,0
193,MT,94,415,No,No,0,137.5,118.0,23.38,203.2,88.0,17.27,150.0,131.0,6.75,13.4,2,3.62,0.0,False,100,0
194,OK,118,408,No,Yes,23,289.5,52.0,49.22,166.6,111.0,14.16,119.1,88.0,5.36,9.5,4,2.57,1.0,False,100,0
195,MD,117,415,No,Yes,23,198.1,86.0,33.68,177.0,86.0,15.05,180.5,92.0,8.12,6.8,6,1.84,1.0,False,100,0
196,TN,78,415,No,No,0,149.7,119.0,25.45,182.2,115.0,15.49,261.5,126.0,11.77,9.7,8,2.62,0.0,False,100,0
197,TX,208,510,No,No,0,326.5,67.0,55.51,176.3,113.0,14.99,181.7,102.0,8.18,10.7,6,2.89,2.0,True,100,1
198,ME,131,510,Yes,Yes,26,292.9,101.0,49.79,199.7,97.0,16.97,255.3,127.0,11.49,13.8,7,3.73,4.0,True,100,1
199,DC,63,408,No,No,0,83.0,64.0,14.11,177.0,106.0,15.05,245.7,89.0,11.06,13.0,3,3.51,0.0,False,100,0
200,MN,53,415,No,Yes,24,145.7,146.0,24.77,220.5,136.0,18.74,249.9,96.0,11.25,13.1,5,3.54,3.0,False,100,0
201,DE,62,408,No,No,0,182.3,101.0,30.99,328.2,93.0,27.9,245.0,131.0,11.03,11.2,1,3.02,2.0,False,100,0
202,MD,97,415,No,No,0,218.0,86.0,37.06,184.0,94.0,15.64,240.5,110.0,10.82,6.4,8,1.73,3.0,False,100,0
203,MI,105,510,No,No,0,140.6,109.0,23.9,178.6,51.0,15.18,217.0,83.0,9.76,6.8,3,1.84,2.0,False,100,0
204,WA,157,415,No,No,0,152.7,105.0,25.96,257.5,80.0,21.89,198.1,93.0,8.91,9.4,4,2.54,1.0,False,100,0
205,MO,66,415,No,Yes,36,106.7,76.0,18.14,209.8,77.0,17.83,190.4,117.0,8.57,12.1,2,3.27,1.0,False,100,0
206,IN,122,415,No,No,0,243.8,98.0,41.45,83.9,72.0,7.13,179.8,84.0,8.09,13.7,8,3.7,2.0,False,100,0
207,OR,38,415,No,No,0,194.4,94.0,33.05,186.7,95.0,15.87,223.3,90.0,10.05,10.8,5,2.92,3.0,False,100,0
208,MD,106,510,No,No,0,213.9,95.0,36.36,151.9,70.0,12.91,260.1,124.0,11.7,12.2,5,3.29,3.0,False,100,0
209,RI,99,510,No,No,0,217.2,112.0,36.92,246.7,89.0,20.97,226.1,89.0,10.17,15.8,7,4.27,3.0,False,100,0
210,LA,99,415,No,No,0,241.1,72.0,40.99,155.6,98.0,13.23,188.2,109.0,8.47,11.6,10,3.13,1.0,False,100,0
211,AZ,144,510,Yes,No,0,203.5,100.0,34.6,247.6,103.0,21.05,194.3,94.0,8.74,11.9,11,3.21,0.0,False,100,0
212,PA,82,415,No,Yes,24,155.2,131.0,26.38,244.5,106.0,20.78,122.4,68.0,5.51,10.7,3,2.89,1.0,False,100,0
213,AZ,86,408,No,Yes,31,167.6,139.0,28.49,113.0,118.0,9.61,246.9,121.0,11.11,12.2,6,3.29,1.0,False,100,0
214,FL,70,510,Yes,No,0,226.7,98.0,38.54,228.1,115.0,19.39,73.2,93.0,3.29,17.6,4,4.75,2.0,True,100,1
215,LA,93,415,No,No,0,179.3,93.0,30.48,178.6,98.0,15.18,225.2,131.0,10.13,11.5,6,3.11,3.0,False,100,0
216,FL,93,415,No,No,0,151.4,89.0,25.74,186.4,76.0,15.84,172.5,120.0,7.76,10.9,3,2.94,0.0,False,100,0
